titulo;preco;desc;erate;url;lat;lng;Quartos;WC's;Tam. do Lote (m²);Ano Construção;Casas de Banho;Total de Assoalhadas;Total m² ;Lugares de Estacionamento;Nº de Andar;Àrea de Construção (m²);Nº Pisos;Tamanho do Lote:;Volume cúbico (m³):
T3+1 novo;320.000 €;Fabuloso T3 com mais um escritório, dividido da sala com duas amplas portas de correr, hall de entrada espaçoso, uma suite, duas casas de banho com piso radiante, ar condicionado nos quartos e na sala. Cozinha com linhas minimalistas e modernas,  lacada a branco com electrodomésticos da Smeg, banca em silestone e varanda. A sala é igualmente servida por uma ampla varanda. O prédio tem painéis solares.Garagem para 3 carros.Possibilidade de aceitar permuta. ;A;http://www.remax.pt/Condo-Apartment-For-Sale-Santo-Antonio-dos-Olivais-Coimbra_123601013-53;40.185305;-8.404915;3;;148,00;2013;2;5;148;;;;;;
*** VENDIDO ***;135.000 €;*** VENDIDO ***;B;http://www.remax.pt/Condo-Apartment-For-Sale-Nossa-Senhora-de-Fatima-Lisbon_123751002-74;38.741359;-9.160036;1;;57,00;2008;1;2;57;;3º Andar;;;;
Apartamento T3 Duplex em S. M. Feira semi-novo;84.000 €;T3 Duplex perto de São João da Madeira com cozinha totalmente equipada( forno,placa maquina de lavar louça,frigorifico,microondas).aquecimento central, sala com recuperador, quartos com roupeiros embutidos.Garagem fechada para 2 carros.;B;http://www.remax.pt/Duplex-For-Sale-Milheiros-de-Poiares-Santa-Maria-da-Feira_122041089-15;41.516779;-6.937016;3;1;540,00;1998;2;4;136;;Último Andar;;;;
Soberba e Luxuosa Moradia;1.995.000 €;  Luxuosa moradia de 4 suites implantada num lote de terreno com 2560 m2, com uma esplêndida localização e uma impressionante vista mar. Esta propriedade distingue-se pela excelente qualidade de construção, os acabamentos únicos como o estilo rústico Francês Provence Art Darc no interior. Na cozinha encontramos os tampos em “Silestone Cherokee”, equipamentos “Miele” e mobiliário “Esquadria”. Aluminios “Domal” com vidro triplo série “Siza Vieira”, pavimento aquecido "Cabhilt", ar condicionado central. Loiças sanitárias "Duravit" com "soft-close". Espaço aberto destinado a barbeque, jacuzzi e ginásio. Furo privado incluindo descalsificador, paineis solares e video vigilância de 6...;B;http://www.remax.pt/House-For-Sale-Loule-(Sao-Sebastiao)-Loule_121891063-178;37.118144;-8.090818;4;;2.560,00;2009;;6;488;;;;;;
FINANCIAMENTO 100% SPREAD 1%;160.000 €;Moradia T2 com linhas arquitectónicas modernas, em condomínio privado com piscina, composto por 9 fogos. Painel solar, estores eléctricos, ar-condicionado e pré-instalação para aspiração central. 2 lugares de garagem, com acesso directo à moradia. Logradouro com acesso directo à piscina. Terraço com 50 m2.Perto dos serviços. Zona sossegada. A poucos minutos da praia.;A+;http://www.remax.pt/Two-Family-House-For-Sale-Ferreiras-Albufeira_122371064-2;37.125971;-8.232279;2;;;2011;2;3;177;;;;;;
IMÓVEL  BANCO MILLENNIUMBCP ;157.500 €;Moradia M3 geminada, nova, inserida em Urbanização calma na Freguesia da Figueira.Este imóvel tem financiamento garantido a 100%, com sreads muito atraentes.( Direito de Superfície );B;http://www.remax.pt/Two-Family-House-For-Sale-Mexilhoeira-Grande-Portimao_122881001-249;37.158628;-8.615189;3;1;142,00;2010;2;4;154;;;;;;
APARTAMENTO  T4 EM CONDOMINIO COM PISCINA;349.900 €;Localizado no centro da Parede, este fantástico apartamento de cinco assoalhadas com magnificas áreas inserido em condomínio de referencia, pode torna-se o seu novo e procurado lar. Imóvel em excelente estado de conservação dispõe, entre muitas e boas características, de espaçosas varadas com vistas abrangentes.Próximo dos meios de transporte e de todo o comercio local bem como de equipamentos de apoio social.Marque já a sua visita!!!;B;http://www.remax.pt/Condo-Apartment-For-Sale-Parede-Cascais_122841139-57;38.690412;-9.35149;4;;735,00;2001;3;5;180;;1º Andar;;;;
Visite Andar Condomínio JARDINS DA LADEIRA;192.500 €;Apartamentos inseridos num Condomínio Privado localizado na Aldeia de Paio Pires, concelho do Seixal.O Condomínio Privado é constituído por zonas comuns, nas quais pode desfrutar de espaços ajardinados e de jardim infantil.Temos para venda várias tipologias, tais como, T1, T2 e T3, todas elas com arrecadação e parqueamento.Dispondo de acabamentos e equipamentos de excelente qualidade, o Condomínio Privado JARDINS DA LADEIRA, foi pensado para o seu maior conforto e bem-estar."Onde Morar é Viver…"Os apartamentos estão equipados com:Estores eléctricos, Janela de alumínio oxilobatentes vidro duplo Isolamento térmico e acústico em paredes...;A;http://www.remax.pt/Condo-Apartment-For-Sale-Aldeia-de-Paio-Pires-Seixal_123211040-222;38.61865;-9.081512;3;1;6.546,00;2011;1;4;118;1;4º Andar;;8;;
MORADIA T3, CONSTRUÇÃO NOVA, EXCELENTE OPORTUNIDADE;157.500 €;Moradia T3, de construção nova, com garagem, jardins e terraço amplo na cobertura.Em zona sossegada, no entanto a poucos minutos de Portimão e de Lagos.Excelente qualidade de construção, a um óptimo preço.( Direito de Superfície );B;http://www.remax.pt/Two-Family-House-For-Sale-Mexilhoeira-Grande-Portimao_122881001-240;37.164694;-8.60311;3;1;126,00;2010;2;5;176;;;;;;
Moradia T3 Oportunidade ;117.500 €;Moradia a estrear com 2 pisos.R/C-Sala,cozinha,despensa,garagem.1ºandar-3quartos (um em suite),uma casa de banho. 3ºandar terraço com vista panorâmica sobre a serra. Boas condições de financiamento.( Direito de Superfície );B;http://www.remax.pt/Two-Family-House-For-Sale-Mexilhoeira-Grande-Portimao_122881001-245;37.158628;-8.615189;3;1;146,00;2010;1;4;124;;;;;;
Moradia T3 Oportunidade ;118.000 €;Moradia a estrear com 2 pisos.R/C-Sala,cozinha,despensa,garagem.1ºandar-3quartos (um em suite),uma casa de banho. 3ºandar terraço com vista panorâmica sobre a serra. Boas condições de financiamento.( Direito de Superfície );B;http://www.remax.pt/Two-Family-House-For-Sale-Mexilhoeira-Grande-Portimao_122881001-244;37.158628;-8.615189;3;1;146,00;2010;1;4;124;;;;;;
FINANCIAMENTO 100% -APARTAMENTO T1;34.000 €;Apartamento T1, sito na Urb. Edificio Barroqueiras, Bloco II, R/Chão Esq em Tábua.Imóvel composto por 1 quarto , 1 casa de banho, sala com lareira, cozinha mobilada e corredor.Possui ainda na sub-cave garagem e arrumos ao nivel da cave.Excelente oportunidade de Negócio!;B;http://www.remax.pt/Condo-Apartment-For-Sale-Tabua-Tabua_122461050-248;40.361714;-8.028222;1;;76,00;2006;1;2;76;;;;;;
Rinchoa-Moradia;310.000 €;Moradia com 231 m2, distribuidos por 2 pisos. Cozinha equipada, sala com lareira, todos os quartos tem roupeiro. Sótão de 40m2. Garagem para 4 viaturas com cozinha e wc.Logradouro de 100m2;B;http://www.remax.pt/Two-Family-House-For-Sale-Rio-de-Mouro-Sintra_123291068-2;;;5;2;500,00;1997;3;6;231;4;;;3;;
Apartamento T3 em Jugueiros, Viseu;135.000 €;Apartamento T3 NOVO, em Jugueiros, Viseu, perto do Instituto Politécnico, Hospital, Centro de Saúde, Palácio do Gelo e próximo do centro da cidade.Em urbanização nova, com facilidade de acesso e amplas zonas verdes.Composto por cozinha mobilada e equipada com caldeira, forno, placa e exaustor e marquise.Sala com lareira com recuperador de calor e varanda, 3 quartos, sendo um em suite e dois com roupeiros embutidos e um wc de serviço.O apartamento é servido por 2 elevadores e tem garagem fechada de fácil acesso, vídeo-porteiro, aquecimento central a gás de cidade e lareira, aspiração central, estores elétricos e pré-instalação de ar condicionado, painel solar e...;A;http://www.remax.pt/Condo-Apartment-For-Sale-Viseu-(Coracao-de-Jesus)-Viseu_122031082-19;40.647301;-7.914145;3;2;;2012;2;4;125;1;2º Andar;;6;;
Apartamento T3 em Jugueiros, Viseu;135.000 €;Apartamento T3 NOVO, em Jugueiros, Viseu, perto do Instituto Politécnico, Hospital, Centro de Saúde, Palácio do Gelo e próximo do centro da cidade.Em urbanização nova, com facilidade de acesso e amplas zonas verdes.Composto por cozinha mobilada e equipada com caldeira, forno, placa e exaustor e marquise.Sala com lareira com recuperador de calor e varanda, 3 quartos, sendo um em suite e dois com roupeiros embutidos e um wc de serviço.O apartamento é servido por 2 elevadores e tem garagem fechada de fácil acesso, vídeo-porteiro, aquecimento central a gás de cidade e lareira, aspiração central, estores elétricos e pré-instalação de ar condicionado, painel solar e...;A;http://www.remax.pt/Condo-Apartment-For-Sale-Viseu-(Coracao-de-Jesus)-Viseu_122031082-18;40.647301;-7.914145;3;2;;2012;2;4;125;1;1º Andar;;6;;
Apartamento Duplex T2+1 em Jugueiros, Viseu;125.000 €;Apartamento Duplex T2+1, NOVO, localizado em Jugueiros, Viseu, perto do Instituto Politécnico, Hospital, Centro de Saúde, Palácio do Gelo e próximo do centro da cidade. Em urbanização nova, com facilidade de acesso e amplas zonas verdes.Composto por 5º andar + sótão.5º andar:Composto por cozinha mobilada e equipada com caldeira, forno, placa e exaustor e marquise.Sala com lareira com recuperador de calor e varanda, 2 quartos com roupeiros embutidos e um wc e um roupeiro no corredor de acesso aos quartos.Escadaria em madeira que permite o acesso ao piso superior e tem também uma porta direta no piso superior.Sótão: Composto por sala e 2...;B;http://www.remax.pt/Condo-Apartment-For-Sale-Viseu-(Coracao-de-Jesus)-Viseu_122031082-17;40.647301;-7.914145;3;2;;2012;2;4;171;;5º Andar;;6;;
Apartamento Duplex T2+2 em Jugueiros, Viseu;130.000 €;Apartamento Duplex T2+2 NOVO, localizado em Jugueiros, Viseu, perto do Instituto Politécnico, Hospital, Centro de Saúde, Palácio do Gelo e próximo do centro da cidade. Em urbanização nova, com facilidade de acesso e amplas zonas verdes.Composto por 5º andar+sótão.5º andar:Composto por cozinha mobilada e equipada com caldeira, forno, placa e exaustor e marquise.Sala com lareira com recuperador de calor e varanda.2 quartos roupeiros embutidos e um wc e um roupeiro no corredor de acesso aos quartos.Escadaria em madeira que permite o acesso ao piso superior e tem também uma porta direta no piso superior.Sótão: Composto por sala, quarto e 2...;B;http://www.remax.pt/Condo-Apartment-For-Sale-Viseu-(Coracao-de-Jesus)-Viseu_122031082-16;40.647301;-7.914145;3;4;;2012;2;5;174;;5º Andar;;6;;
Apartamento Duplex T3+4 em Jugueiros, Viseu;170.000 €;Apartamento Duplex T3+4, NOVO, localizado em Jugueiros, Viseu, perto do Instituto Politécnico, Hospital, Centro de Saúde, Palácio do Gelo e próximo do centro da cidade. Em urbanização nova, com facilidade de acesso e amplas zonas verdes.Composto por 5º andar+sótão5º andar:Cozinha mobilada e equipada com caldeira, forno, placa e exaustor, marquise e despensa.Sala com lareira com recuperador de calor, duas frentes e 2 varandas.Três quartos, um em suite com wc e todos com roupeiros embutidos.Tem mais um wc e um roupeiro no corredor de acesso aos quartos.Escadaria em madeira que permite o acesso ao piso superior, sendo que também tem acesso...;B;http://www.remax.pt/Condo-Apartment-For-Sale-Viseu-(Coracao-de-Jesus)-Viseu_122031082-15;40.647301;-7.914145;6;4;;2012;4;8;329;;5º Andar;;6;;
Apartamento T3 em Jugueiros, Viseu;140.000 €;Apartamento T3 NOVO, localizado em Jugueiros, Viseu, perto do Instituto Politécnico, Hospital, Centro de Saúde, Palácio do Gelo e próximo do centro da cidade.Urbanização nova, com facilidade de acesso e amplas zonas verdes.Composto por cozinha mobilada e equipada com caldeira, forno, placa e exaustor, marquise e despensa.Sala com lareira com recuperador de calor, duas frentes e 2 varandas.Três quartos, um em suite com wc e todos com roupeiros embutidos.Mais um wc e um roupeiro no corredor de acesso aos quartos.O apartamento é servido por 2 elevadores, tem garagem fechada de fácil acesso e arrumo.Tem vídeo-porteiro, aquecimento central a gás de cidade e...;B;http://www.remax.pt/Condo-Apartment-For-Sale-Viseu-(Coracao-de-Jesus)-Viseu_122031082-13;40.647301;-7.914145;3;2;;2012;2;4;146;;1º Andar;;6;;
Apartamento T3 na Quinta das Mesuras, Viseu;140.000 €;Apartamento T3 NOVO, na Quinta das Mesuras, em Viseu.Empreendimento de alta qualidade, localizado junto à Loja do Cidadão.Sala com lareira com recuperador de calor, todos os quartos com roupeiro embutido, sendo um em suite, WC mobilado e equipado com louças sanitárias suspensas.Possibilidade de escolha dos móveis de cozinha.Grande varanda com bela paisagem, caldeira a gás canalizado, painel solar com acumulador de 200 l para águas quentes sanitárias, piso radiante com regulação individual em cada divisão, pré-instalação de ar condicionado, som ambiente e domótica.Toda a caixilharia é em alumínio com corte térmico e basculante e os estores...;A+;http://www.remax.pt/Condo-Apartment-For-Sale-Viseu-(Santa-Maria-de-Viseu)-Viseu_122031082-12;40.651602;-7.909319;3;2;166,00;2012;2;4;166;;5º Andar;;6;;
Apartamento T3 na Quinta das Mesuras, Viseu;145.000 €;Apartamento T3 NOVO, na Quinta das Mesuras, em Viseu.Empreendimento de alta qualidade, localizado junto à Loja do Cidadão.Sala com lareira com recuperador de calor, todos os quartos com roupeiro embutido, sendo um em suite, WC mobilado e equipado com louças sanitárias suspensas.Possibilidade de escolha dos móveis de cozinha.Grande varanda com bela paisagem, caldeira a gás canalizado, painel solar com acumulador de 200 l para águas quentes sanitárias, piso radiante com regulação individual em cada divisão, pré-instalação de ar condicionado, som ambiente e domótica.Toda a caixilharia é em alumínio com corte térmico e basculante e os estores...;A+;http://www.remax.pt/Condo-Apartment-For-Sale-Viseu-(Santa-Maria-de-Viseu)-Viseu_122031082-11;40.651602;-7.909105;3;2;166,00;2012;2;4;166;;1º Andar;;6;;
Apartamento T3 na Quinta das Mesuras, Viseu;140.000 €;Apartamento T3 NOVO, na Quinta das Mesuras, em Viseu.Empreendimento de alta qualidade, localizado junto à Loja do Cidadão.Sala com lareira com recuperador de calor, todos os quartos com roupeiro embutido, sendo um em suite, WC mobilado e equipado com louças sanitárias suspensas.Possibilidade de escolha dos móveis de cozinha.Grande varanda com bela paisagem, caldeira a gás canalizado, painel solar com acumulador de 200 l para águas quentes sanitárias, piso radiante com regulação individual em cada divisão, pré-instalação de ar condicionado, som ambiente e domótica.Toda a caixilharia é em alumínio com corte térmico e basculante e os estores...;A+;http://www.remax.pt/Condo-Apartment-For-Sale-Viseu-(Santa-Maria-de-Viseu)-Viseu_122031082-10;40.651455;-7.90904;3;2;166,00;2012;2;4;166;;1º Andar;;6;;
T3 Agudela - Investidores;180.000 €;Apartamento T3 em frente à praia e com vista mar, com muito pouco uso, em excelente estado de conservação, sala comum de 28 m2, varanda em frente à praia, Suite, quartos com roupeiros, casa de banho completa de apoio aos dois quartos e wc social. Cozinha com 10 m2 e lavandaria independente. Garagem Box com 20 m2. Gás canalizado, Aquecimento Central. Encontra-se arrendado.;B;http://www.remax.pt/Condo-Apartment-For-Sale-Lavra-Matosinhos_120741116-20;41.244942;-8.722364;3;1;158,00;2003;2;4;138;2;1º Andar;138,00;;;
Apartamento T3 São Jorge de Selho!;95.000 €;Apartamento T3 São Jorge de Selho!Centro de “Pevidem”, Como NOVO!Cozinha Mobilada e equipada, “Placa, Forno e extrator”. Despensa.Aquecimento Central, piso radiante. Aspiração Central, estores elétricos e vídeo porteiro.3 Quartos, 1 suite. Roupeiros e Varanda.2 WC, Cabine e Banheira de Hidromassagens.Elevador. Garagem fechada Ótimo investimento.;B;http://www.remax.pt/Condo-Apartment-For-Sale-Selho-(Sao-Jorge)-Guimaraes_121751015-570;;;3;;140,00;2002;2;4;168;;;;;;
Apartamento T3 como Novo! Com Terraço! 2 Frentes.;87.000 €;Apartamento T3 como Novo! Com Terraço! 2 Frentes.Cozinha Mobilada e Equipada. 3 Quartos, 1 Suíte (terraço aos quartos). Com 2 elevadores. Garagem fechada.Sala com lareira e varanda.Localização fabulosa! Parque da Cidade!Ligue me…;B;http://www.remax.pt/Condo-Apartment-For-Sale-Mesao-Frio-Guimaraes_121751015-573;;;3;;131,00;1997;2;4;170;;;;;;
MONTIJO T3+ARRECAD. (NOVO) PRESTAÇÕES DESDE 395€;138.020 €; COMPRE CASA NOVA E FIQUE A PAGAR MENOS DO QUE NUM ARRENDAMENTO.Aproveite as condições bancárias únicas oferecidas pela Remax Bravus em parceria com a banca, para comprar CASA NOVA e ficar a pagar uma PRESTAÇÃO MAIS PEQUENA do que num simples arrendamento.VANTAGENS DESTE APARTAMENTO1- Cozinha totalmente equipada (Siemens)2- Acabamentos de excelência3- Aspiração central4- Ar condicionado5- ArrecadaçãoAPROVEITE A OPORTUNIDADE. Magnífico T3 com 97m2, a estrear, situado numa das zonas mais prestigiadas da cidade do Montijo agora à venda por mensalidades e condições bancárias absolutamente inacreditáveis.A construção e acabamentos de primeira...;B;http://www.remax.pt/Condo-Apartment-For-Sale-Montijo-Montijo_123641001-203;38.705129;-8.954233;2;;97,00;2009;2;3;97;;;;;;
Fantástico Apartamento T1 NOVO - Entre Quintas;89.500 €;ENTRE O VERDE E O AZUL DO MAR...Com vistas sobre o mar e sobre o porto de Leixões, o "Entre Quintas" é um local onde a modernidade e a história se fundem num ambiente exclusivo e de excelência.Pormenores de distinção:- Condomínio fechado- Piscina- Court de Tenis- Healt Club com sauna, banho turco, jacuzzi- Segurança 24 horas- Cozinha mobilada e equipada- Sala com 25 m2- Soalho pregado em madeira maciça de Garapa- Caixilharia em alumínio oscilobatente com vidro duplo- Estores eléctricos- Portas de entrada de segurança- Elevadores com variação de velocidade por variação de frequência, gerador para fornecimento...;B;http://www.remax.pt/122431032-794;41.19435;-8.692117;1;;68,00;2006;1;2;68;;Acima do 10º Andar;;;;
Moradias T4+1 - São Pedro de Sintra;345.000 €;Localização privilegiada desta moradia geminada, em S. Pedro de Sintra, composta por cave para garagem - 3 viaturas - r/c com sala comum, cozinha, wc social, com poliban e 1 quarto. 1º andar 1 suite, 2 quartos e casa de banho completa. Sótão com wc.Jardim com zona de barbecue.Ar condicionado na sala e quartos. Sala com lareira e recuperador de calor e aproveitamento para os quartos, equipada com LCD e home-cinema. Cozinha Siemens. wc com louças e móveis suspensos. Painéis solares. Vidros duplos e alumínio térmico.A pintura interior pode ser personalizada.A 5 min da A5, A16 e IC19.Condições especias de financiamento.Espero a sua visita.;A;http://www.remax.pt/Two-Family-House-For-Sale-Sao-Pedro-de-Penaferrim-Sintra_123291065-9;38.779045;-9.379621;4;2;288,00;2012;2;7;165;4;;;2;;
MORADIA T4 ** BIRRE ** 5 ASSOALHADAS;1.000.000 €;  Moradia de 5 assoalhadas, situada numa das zonas mais conceituadas de Cascais.Com excelentes áreas, a moradia é constituída por dois pisos. Possui 4 quartos, dos quais 3 são suites, sala comum com 50 m2 com orientação para o jardim.No exterior jardim com piscina, zona de canil, e garagem independente com 2 entradas.Encontra nesta propriedade todas as características que de um imóvel de luxo em zona privilegiada.;B;http://www.remax.pt/Two-Family-House-For-Sale-Cascais-Cascais_122621003-574;38.718482;-9.446826;4;;1.046,00;2007;4;5;270;;;;;;
Moradias T4+1 - São Pedro de Sintra;345.000 €;Localização privilegiada desta moradia geminada, em S. Pedro de Sintra, composta por cave para garagem - 3 viaturas - r/c com sala comum, cozinha, wc social, com poliban e 1 quarto. 1º andar 1 suite, 2 quartos e casa de banho completa. Sotão com wc.Jardim com zona de barbecue.Ar condicionado na sala e quartos. Sala com lareira e recuperador de calor e aproveitamento para os quartos, equipada com LCD e home-cinema. Cozinha Siemens. wc com louças e móveis suspensos. Paineis solares. Vidros duplos e alumínio termico.A pintura interior pode ser personalizada.A 5 min da A5, A16 e IC19.Condições especiais de financiamento.Espero a sua visita.;A;http://www.remax.pt/Two-Family-House-For-Sale-Sao-Pedro-de-Penaferrim-Sintra_123291065-7;38.779681;-9.383955;4;2;288,00;2012;2;7;165;4;;;2;;
Espectacular Moradia Isolada  T4 SEMI-NOVA;299.000 €;  Moradia Isolada, semi-nova de 2012, a 3min. do centro do Pinhal Novo, em zona urbana de baixa densidade, local sossegado intrusado na natureza, com irrepreensível qualidade do ar, com área de 284m2 em lote com 2014m2, constituída por 5 divisões assoalhadas e 2 w.c., hall de entrada com 18.50m2, sala com 39m2 equipada com lareira e recuperador de calor, cozinha com 17.50m2, despensa/ lavandaria com 9.00m2, 1 quarto com 17.20m2, 2 quartos com 12.40m2 e 1 quarto/ closed (suite) com 25.35m2. Possui garagem com 41.00m2 para 2 carros e com 2 portões automáticos, e acesso ao sótão com características que permite utilização. A moradia possui ainda, painéis solares para AQS,...;A;http://www.remax.pt/Two-Family-House-For-Sale-Pinhal-Novo-Palmela_122191105-86;;;4;;2.014,00;2012;2;5;284;;;;1;;
Apartamento T3 Condomínio Fechado;183.000 €;Apartamento T3 em condomínio fechado.Possibilidade de financiamento a 100%Visite;A;http://www.remax.pt/Condo-Apartment-For-Sale-Santo-Antonio-dos-Olivais-Coimbra_123351019-285;40.183742;-8.407352;3;1;1.000,00;2013;1;4;130;;;;;;
T3+1 Exelentes Acessos, a 2km da Praia;235.000 €;Moradia em banda, recente, urbanização sossegada,muito bem localizada, a 2km da praia da Mata. Fáceis acessos a comércio, apenas a 15 minutos de Lisboa. Dispõe de ampla garagem na cave com zona de arrumos, piso térreo com zona de ingresso, sala ampla, instalação sanitária de serviço e cozinha totalmente equipada. No 1.º piso existem 3 quartos, todos com roupeiro, 2 instalações sanitárias (uma delas na suite), e 3 varandas. Sotão amplo com ótima iluminação natural, com a área de toda a casa. Tenha todo o conforto nesta moradia moderna, com pavimento flutuante em faia, vidros duplos, ar condicionado, portões automáticos, alarme e porta blindada, para sua total segurança. Usufrua ainda de um...;B;http://www.remax.pt/Two-Family-House-For-Sale-CHARNECA-de-CAPARICA-ALMADA_120881155-19;38.630761;-9.206866;3;1;334,00;2005;2;5;271;3;;147,00;;;
Apartamento T1 Condomínio Fechado;115.000 €;Apartamento T1 em condomínio fechado.Possibilidade de financiamento a 100%Visite;A;http://www.remax.pt/Condo-Apartment-For-Sale-Santo-Antonio-dos-Olivais-Coimbra_123351019-286;40.183742;-8.407352;1;;1.000,00;2013;1;2;75;;;;;;
Moradia T4 com 3 frentes - NOVA - Rio Tinto;315.000 €;Bonita moradia T4, com três frentes, situada em zona de prestígio de moradias unifamiliares.Localização muito central, junto à escola secundária.Acabamentos de luxo: Aquecimento central, Vidros duplos, Portões automáticos, Alarme, Cabines de duche, Banheira com jacuzzi. Jardim nas traseiras com espaço de estacionamento e ligação à garagem, Churrasqueira, Anexos de apoio a espaço exterior,Local para construção de piscina. Ginásio.Excelente oportunidade de negócio!;B;http://www.remax.pt/Two-Family-House-For-Sale-Rio-Tinto-Gondomar_120421105-18;41.175507;-8.553673;4;;412,00;2007;;6;192;;;;;;
;174.000 €;  Pelo traço do Arquiteto David Antunes nasceu na Castanheira do Ribatejo o projecto residencial "Quinta das Laranjeiras" com o rio Tejo como pano de fundo, é já considerado uma referência arquitectónica.O edificio é composto por 19 apartamentos de várias tipologias, todos eles com caracteristicas únicas.O empreendimento dispõe de uma agradável zona de lazer onde poderá desfrutar de uma piscina, court de ténis e agradáveis espaços verdes.Venha conhecer a sua nova casa e deixe-se levar pela enorme onda de tranquilidade e conforto da Quinta das Laranjeiras.ACEITAM-SE PERMUTAS;B;http://www.remax.pt/Condo-Apartment-For-Sale-Castanheira-do-Ribatejo-Vila-Franca-de-Xira_122601026-245;38.993368;-8.973458;2;;106,00;2010;2;3;106;;4º Andar;;;;
FABULOSA MORADIA T4 NOVA - NATURE RESORT VALE PISÃ;575.000 €;Excelente moradia T4 nova de arquitetura contemporânea inserida no melhor Nature Resort de Luxo no norte de Portugal, o Vale Pisão.O "Vale Pisão" é constituído por um complexo residencial de luxo integrado numa área total de mais de 150 hectares de muita natureza e ancorado num campo de golfe de 18 buracos.O projeto, que privilegia o desenvolvimento sustentável e a preservação do ambiente, traduz um estilo de vida descontraído e confortável. Esta moradia tem vistas deslumbrantes sobre o resort e encontra-se situada onde predomina o sossego e a tranquilidade de vida. Desfrute de uma moradia diferente. Aqui a diferença está entre morar e viver. Pavimento dos quartos em...;A;http://www.remax.pt/Two-Family-House-For-Sale-Agua-Longa-Santo-Tirso_123331001-320;41.250805;-8.493347;4;;364,00;2010;;5;391;2;;;2;;
ÓTIMO PARA INVESTIMENTO;85.000 €;Apartamento T1 semi-novo no Pinheiro de Loures. Dispõe de cozinha semi-equipada, com móveis em faia e bancadas em granito. Sala com pavimento cerâmico e acesso a varanda com churrasqueira. Quarto com roupeiro, pavimento flutuante e acesso a varanda. WC com poliban. O apartamento dispõe ainda de parqueamento para uma viatura, ar condicionado em todas as divisões, gás canalizado, porta blindada,vidros duplos e TVCabo. Prédio de baixa densidade, com 2 andares. Excelente localização, ótima vista e bons acessos rodoviários. Zona residencial muito sossegada. Próximo de comércio local e transportes públicos.ESTE IMÓVEL É ÓTIMO PARA INVESTIMENTO, PELO QUE SE ENCONTRA ATUALMENTE ARRENDADO PELO...;B;http://www.remax.pt/Condo-Apartment-For-Sale-Loures-Loures_123841003-38;;;1;;;2007;1;2;65;;;;;;
APARTAMENTO T3 DUPLEX NOVO;160.000 €;Ao comprar este apartamento T3 Dúplex em Paços de Ferreira estará a investir num imóvel com as seguintes características: Apartamento T3 Duplex Novo, localizado na zona nobre do Concelho de Paços de Ferreira.  Prédio todo em capoto,                                                                    Boa exposição solar e boa localização.Possui as seguintes características:• Cozinha mobilada,• Terraço e varandas,• Garagem fechada mais um lugar de garagem,• Roupeiros embutidos,• Móveis de casa de banho (3 w.c),• Sala com lareira com recuperador de calor,• Painel solar (toda a instalação completa),• Pré-instalação de ar condicionado (inclui...;B;http://www.remax.pt/Condo-Apartment-For-Sale-Pacos-de-Ferreira-Pacos-de-Ferreira_122571077-185;41.278203;-8.373414;3;;244,00;2012;;4;172;;2º Andar;;2;;
;430.000 €;Ao comprar esta moradia em Água Longa, Santo Tirso estará a investir num imóvel com as seguintes características: Excelente moradia T4 com três pisos inserida no Resort Vale Pisão! A REMAX está à sua total disposição para o(a) ajudar a comprar esta moradia em Água Longa, Santo Tirso.;A;http://www.remax.pt/Two-Family-House-For-Sale-Agua-Longa-Santo-Tirso_122571077-184;41.250805;-8.493347;4;;329,00;2010;;5;285;;;;3;;
APARTAMENTO DE 3 ASSOALHADAS NO FOGUETEIRO;61.500 €;APARTAMENTO DE 3 ASSOALHADAS, BEM CONSERVADO. SITUADO A 2 MINUTOS DOS ACESSOS A LISBOA. ÁREAS MUITO BOAS.;B;http://www.remax.pt/Condo-Apartment-For-Sale-Amora-Seixal_123211017-84;38.613924;-9.114462;2;;247,00;1999;1;3;247;;;;;;
Loja na Quinta das Nogueiras;160.000 €;Excelente loja na Quinta das Nogueiras com 66m2 para fins comerciais. Encontra-se no N Space, um projecto de arquitectura e engenharia moderna. Esta loja padece de espaços verdes e uma ótima exposição solar.FINANCIAMENTO 100% SPRED 2%;A;http://www.remax.pt/Special-architectural-house-For-Sale-Santo-Antonio-dos-Olivais-Coimbra_123351005-62;37.127099;-8.243918;;;1.500,00;2012;;;66;;;;;;
FABULOSA MORADIA T4 NOVA - NATURE RESORT VALE PISÃ;435.000 €;Excelente moradia T4 nova de arquitetura contemporânea inserida no melhor Nature Resort de Luxo no norte de Portugal, o Vale Pisão.O "Vale Pisão" é constituído por um complexo residencial de luxo integrado numa área total de mais de 150 hectares de muita natureza e ancorado num campo de golfe de 18 buracos.O projeto, que privilegia o desenvolvimento sustentável e a preservação do ambiente, traduz um estilo de vida descontraído e confortável. Esta moradia tem vistas deslumbrantes sobre o resort e encontra-se situada onde predomina o sossego e a tranquilidade de vida. Desfrute de uma moradia diferente. Aqui a diferença está entre morar e viver. Pavimento dos quartos em...;A;http://www.remax.pt/Two-Family-House-For-Sale-Agua-Longa-Santo-Tirso_123331001-326;41.250805;-8.493347;4;;250,00;2010;;5;308;2;;;2;;
